chrom	chromStart	chromEnd	name	title	trait	genes	orOrBeta	pValue	lincRNAsTranscripts_name	lincRNAsTranscripts_distance	lincRNAsTranscripts_feature	refGene_name	refGene_distance	refGene_feature
chr6_apd_hap1	2318834	2318835	rs2844665	Genome-wide association study of Stevens-Johnson Syndrome and Toxic Epidermal Necrolysis in Europe.	Stevens-Johnson syndrome and toxic epidermal necrolysis (SJS-TEN)	C6orf205	1.54	3E-7	TCONS_00029939	-17857	intergenic	MUC22	3675	intergenic
chr6_apd_hap1	2333114	2333115	rs2517532	Novel associations for hypothyroidism include known autoimmune risk loci.	Hypothyroidism	LOC729792, HCG22, C6orf15, HLA-C, HLA-B, DHFRP2, HCP5	1.16	1E-8	TCONS_00029939	-3577	intergenic	HCG22	-2820	intergenic
chr6_apd_hap1	2339517	2339518	rs9262632	The major genetic determinants of HIV-1 control affect HLA class I peptide presentation.	HIV-1 control	Intergenic	3.10	1E-8	TCONS_00029939	0	nc_exon	HCG22	0	nc_intron
chr6_apd_hap1	2761505	2761506	rs2248462	Genome-wide association study of classical Hodgkin lymphoma and Epstein-Barr virus status-defined subgroups.	Hodgkin's lymphoma	MICB	1.64	7E-16	TCONS_00029939	419142	intergenic	MICB	-19055	intergenic
chr6_apd_hap1	2763685	2763686	rs3099844	Genome-wide screen for metabolic syndrome susceptibility Loci reveals strong lipid gene contribution but no evidence for common genetic basis for clustering of metabolic syndrome traits.	Metabolic syndrome	HCG26, MICB	.15	2E-8	TCONS_00029939	421322	intergenic	MICB	-16875	intergenic
chr6_apd_hap1	2763685	2763686	rs3099844	Identification of candidate loci at 6p21 and 21q22 in a genome-wide association study of cardiac manifestations of neonatal lupus.	Neonatal lupus	TNF,NFKBIL1,LTA,LTB,AIF1	3.34	5E-10	TCONS_00029939	421322	intergenic	MICB	-16875	intergenic
chr6_apd_hap1	2787408	2787409	rs2855812	Genome-wide association and large-scale follow up identifies 16 new loci influencing lung function.	Pulmonary function	MICB	.03	2E-7	TCONS_00029939	445045	intergenic	MICB	0	intron
chr6_apd_hap1	2790174	2790175	rs3132468	Genome-wide association study identifies susceptibility loci for dengue shock syndrome at MICB and PLCE1.	Dengue shock syndrome	MICB	1.34	4E-11	TCONS_00029939	447811	intergenic	MICB	0	intron
chr6_apd_hap1	2795987	2795988	rs2516399	Identification of nine novel loci associated with white blood cell subtypes in a Japanese population.	White blood cell types	MHC	.11	2E-12	TCONS_00029939	453624	intergenic	MICB	2397	intergenic
chr6_apd_hap1	2814290	2814291	rs3853601	Meta-analysis of genome-wide association studies identifies three new risk loci for atopic dermatitis.	Atopic dermatitis	BAT1	1.13	2E-6	TCONS_00029939	471927	intergenic	DDX39B;DDX39B;ATP6V1G2-DDX39B	0;0;0	nc_intron;intron;nc_intron
chr6_apd_hap1	2820167	2820168	rs2734583	A whole-genome association study of major determinants for allopurinol-related Stevens-Johnson syndrome and toxic epidermal necrolysis in Japanese patients.	Stevens-Johnson syndrome and toxic epidermal necrolysis (SJS-TEN)	BAT1, HCP5, MICC, PPIAP9, PSORS1C1, POLR2LP, CCHCR1, TCF19, POU5F1, HLA-C, HCP5, PSORS1C3, HLA-B*5801	66.80	2E-8	TCONS_00029939	477804	intergenic	DDX39B;ATP6V1G2-DDX39B	0;0	intron;nc_intron
chr6_apd_hap1	2872508	2872509	rs11575839	Genome-wide association study for serum complement C3 and C4 levels in healthy Chinese subjects.	Complement C3 and C4 levels	HLA-C	.23	1E-54	TCONS_00029939	530145	intergenic	NCR3	0	cds
chr6_apd_hap1	2883186	2883187	rs2857595	Genome-wide association and large-scale follow up identifies 16 new loci influencing lung function.	Pulmonary function	NCR3	.04	2E-10	TCONS_00029939	540823	intergenic	NCR3	7706	intergenic
chr6_apd_hap1	2887673	2887674	rs2844479	Genome-wide association yields new sequence variants at seven loci that associate with measures of obesity.	Weight	AIF1, NCR3	3.58	2E-8	TCONS_00029939	545310	intergenic	NCR3	12193	intergenic
chr6_apd_hap1	2890015	2890016	rs9348876	A genome-wide association study on a southern European population identifies a new Crohn's disease susceptibility locus at RBX1-EP300.	Crohn's disease	AIF1	1.41	3E-6	TCONS_00029939	547652	intergenic	NCR3	14535	intergenic
chr6_apd_hap1	3093289	3093290	rs2075799	Genome-wide association study for serum complement C3 and C4 levels in healthy Chinese subjects.	Complement C3 and C4 levels	C4	.17	6E-97	TCONS_00029939	750926	intergenic	HSPA1L	0	cds
chr6_apd_hap1	3117294	3117295	rs9368699	Common genetic variation and the control of HIV-1 in humans.	HIV-1 control	SNORD52	NR	5E-8	TCONS_00029939	774931	intergenic	C6orf48	-151	intergenic
chr6_apd_hap1	3151820	3151821	rs11966200	Genome-wide association study for vitiligo identifies susceptibility loci at 6q27 and the MHC.	Vitiligo	HLA-C,HLA-B	1.90	1E-48	TCONS_00029939	809457	intergenic	SLC44A4	0	intron
chr6_apd_hap1	3153465	3153466	rs494620	Loci at chromosomes 13, 19 and 20 influence age at natural menopause.	Menopause (age at onset)	NR	.30	5E-7	TCONS_00029939	811102	intergenic	SLC44A4	0	cds
chr6_apd_hap1	3158677	3158678	rs2736428	Genome-wide association identifies OBFC1 as a locus involved in human leukocyte telomere biology.	Telomere length	SLC44A4	.05	3E-6	TCONS_00029939	816314	intergenic	SLC44A4;SLC44A4	0;0	intron+utr5;intron
chr6_apd_hap1	3364805	3364806	rs185819	Many sequence variants affecting diversity of adult human height.	Height	HLA class III	5.20	3E-8	TCONS_00029940	-766446	intergenic	PRRT1	-66070	intergenic
chr6_apd_hap1	3365496	3365497	rs1150754	Differential genetic associations for systemic lupus erythematosus based on anti-dsDNA autoantibody production.	Systemic lupus erythematosus	TNXB	2.21	6E-29	TCONS_00029940	-765755	intergenic	PRRT1	-65379	intergenic
chr6_apd_hap1	3424715	3424716	rs204999	Discovery and fine mapping of serum protein loci through transethnic meta-analysis.	Serum total protein level	Intergenic	.03	4E-11	TCONS_00029940	-706536	intergenic	PRRT1	-6160	intergenic
chr6_apd_hap1	3424715	3424716	rs204999	Discovery and fine mapping of serum protein loci through transethnic meta-analysis.	Serum total protein level	Intergenic	.03	3E-9	TCONS_00029940	-706536	intergenic	PRRT1	-6160	intergenic
chr6_apd_hap1	3424715	3424716	rs204999	A genome-wide meta-analysis of nodular sclerosing Hodgkin lymphoma identifies risk loci at 6p21.32.	Nodular sclerosis Hodgkin lymphoma	HLA-DRB1, HLA-DQB1	2.50	8E-18	TCONS_00029940	-706536	intergenic	PRRT1	-6160	intergenic
chr6_apd_hap1	3424715	3424716	rs204999	A genome-wide meta-analysis of nodular sclerosing Hodgkin lymphoma identifies risk loci at 6p21.32.	Nodular sclerosis Hodgkin lymphoma	HLA-DRB1, HLA-DQB1	1.70	2E-7	TCONS_00029940	-706536	intergenic	PRRT1	-6160	intergenic
chr6_apd_hap1	3451287	3451288	rs1061808	Genome-wide association study identifies novel loci associated with circulating phospho- and sphingolipid concentrations.	Phospholipid levels (plasma)	AGPAT1	.90	8E-10	TCONS_00029940	-679964	intergenic	AGPAT1	0	exon+utr3
chr6_apd_hap1	3466183	3466184	rs2070600	Meta-analyses of genome-wide association studies identify multiple loci associated with pulmonary function.	Pulmonary function	AGER, PPT2	1.00	3E-14	TCONS_00029940	-665068	intergenic	AGER;AGER	0;0	cds;nc_exon
chr6_apd_hap1	3466183	3466184	rs2070600	Genome-wide association study identifies five loci associated with lung function.	Pulmonary function	AGER	.09	3E-15	TCONS_00029940	-665068	intergenic	AGER;AGER	0;0	cds;nc_exon
chr6_apd_hap1	3470318	3470319	rs204993	Genome-wide association study identifies three new susceptibility loci for adult asthma in the Japanese population.	Asthma	PBX2	1.17	2E-15	TCONS_00029940	-660933	intergenic	PBX2	0	intron
chr6_apd_hap1	3473056	3473057	rs176095	Genome-wide association study identifies eight new susceptibility loci for atopic dermatitis in the Japanese population.	Atopic dermatitis	GPSM3	1.40	8E-20	TCONS_00029940	-658195	intergenic	GPSM3	-223	intergenic
chr6_apd_hap1	3480181	3480182	rs2071278	Genome-wide association study for serum complement C3 and C4 levels in healthy Chinese subjects.	Complement C3 and C4 levels	HLA-DRA	.13	4E-72	TCONS_00029940	-651070	intergenic	NOTCH4	0	intron
chr6_apd_hap1	3486431	3486432	rs2071277	Genome-wide association study of age-related macular degeneration identifies associated variants in the TNXB-FKBPL-NOTCH4 region of chromosome 6p21.3.	Age-related macular degeneration	NOTCH4	1.30	2E-11	TCONS_00029940	-644820	intergenic	NOTCH4	0	intron
chr6_apd_hap1	3487741	3487742	rs3131296	Common variants conferring risk of schizophrenia.	Schizophrenia	MHC, NOTCH4	1.19	2E-10	TCONS_00029940	-643510	intergenic	NOTCH4	819	intergenic
chr6_apd_hap1	3597576	3597577	rs6910071	Genome-wide association study meta-analysis identifies seven new rheumatoid arthritis risk loci.	Rheumatoid arthritis	HLA-DRB1	2.88	1E-299	TCONS_00029940	-533675	intergenic	C6orf10	-16968	intergenic
chr6_apd_hap1	3620711	3620712	rs3129900	A genome-wide study identifies HLA alleles associated with lumiracoxib-related liver injury.	Lumiracoxib-related liver injury	HLA-DRB1	7.50	7E-25	TCONS_00029940	-510540	intergenic	C6orf10	0	intron
chr6_apd_hap1	3623637	3623638	rs9469099	Genome-wide association study identifies eight new susceptibility loci for atopic dermatitis in the Japanese population.	Atopic dermatitis	C6orf10	1.61	5E-19	TCONS_00029940	-507614	intergenic	C6orf10	0	intron
chr6_apd_hap1	3635926	3635927	rs2395148	Primary biliary cirrhosis associated with HLA, IL12A, and IL12RB2 variants.	Primary biliary cirrhosis	c6orf10, BTNL2, HLA-DQB1	NR	7E-10	TCONS_00029940	-495325	intergenic	C6orf10	0	intron
chr6_apd_hap1	3635926	3635927	rs2395148	Primary biliary cirrhosis associated with HLA, IL12A, and IL12RB2 variants.	Primary biliary cirrhosis	c6orf10, BTNL2, HLA-DQB1	NR	1E-10	TCONS_00029940	-495325	intergenic	C6orf10	0	intron
chr6_apd_hap1	3635926	3635927	rs2395148	Association of the TRAF1-C5 locus on chromosome 9 with juvenile idiopathic arthritis.	Arthritis (juvenile idiopathic)	HLA-DRB1	5.37	2E-10	TCONS_00029940	-495325	intergenic	C6orf10	0	intron
chr6_apd_hap1	3650578	3650579	rs3129934	A genome-wide association study in progressive multiple sclerosis.	Multiple sclerosis	C6orf10	2.34	7E-16	TCONS_00029940	-480673	intergenic	C6orf10	0	intron
chr6_apd_hap1	3650578	3650579	rs3129934	Identification of a novel risk locus for multiple sclerosis at 13q31.3 by a pooled genome-wide scan of 500,000 single nucleotide polymorphisms.	Multiple sclerosis	HLA-DRB1	3.30	9E-11	TCONS_00029940	-480673	intergenic	C6orf10	0	intron
chr6_apd_hap1	3652023	3652024	rs2273017	Identification of independent risk loci for Graves' disease within the MHC in the Japanese population.	Graves' disease	MHC	1.53	2E-22	TCONS_00029940	-479228	intergenic	C6orf10	0	intron
chr6_apd_hap1	3653080	3653081	rs3129943	Genome-wide association study identifies three new susceptibility loci for adult asthma in the Japanese population.	Asthma	C6orf10	1.17	3E-15	TCONS_00029940	-478171	intergenic	C6orf10	0	intron
chr6_apd_hap1	3653460	3653461	rs2050190	Genetic associations for activated partial thromboplastin time and prothrombin time, their gene expression profiles, and risk of coronary artery disease.	Activated partial thromboplastin time	C6orf10	.25	7E-7	TCONS_00029940	-477791	intergenic	C6orf10	0	intron
chr6_apd_hap1	3655737	3655738	rs9268402	Genome-wide association study in Han Chinese identifies four new susceptibility loci for coronary artery disease.	Coronary heart disease	C6orf10, BTNL2	1.16	3E-15	TCONS_00029940	-475514	intergenic	C6orf10	1696	intergenic
chr6_apd_hap1	3659665	3659666	rs7758128	Genome-wide analysis identifies a quantitative trait locus in the MHC class II region associated with generalized vitiligo age of onset.	Vitiligo	C6orf10, BTNL2	NR	8E-11	TCONS_00029940	-471586	intergenic	C6orf10	5624	intergenic
chr6_apd_hap1	3672639	3672640	rs3117099	Genome-wide association study in a Swedish population yields support for greater CNV and MHC involvement in schizophrenia compared with bipolar disorder.	Bipolar disorder and schizophrenia	MHC, other genes	1.25	3E-6	TCONS_00029940	-458612	intergenic	HCG23	-16	intergenic
chr6_apd_hap1	3672882	3672883	rs3117098	Genome-wide association study identifies three new susceptibility loci for adult asthma in the Japanese population.	Asthma	BTNL2	1.16	5E-12	TCONS_00029940	-458369	intergenic	HCG23	0	nc_exon
chr6_apd_hap1	3677584	3677585	rs1980493	Genome-wide association study of determinants of anti-cyclic citrullinated peptide antibody titer in adults with rheumatoid arthritis.	Anti-cyclic Citrullinated Peptide Antibody	HLA-DRA, BTNL2	NR	5E-7	TCONS_00029940	-453667	intergenic	BTNL2	0	intron
chr6_apd_hap1	3678185	3678186	rs2076530	Genome-wide association analysis reveals 12q13.3-q14.1 as new risk locus for sarcoidosis.	Sarcoidosis	BTNL2	NR	3E-11	TCONS_00029940	-453066	intergenic	BTNL2	0	intron+cds
chr6_apd_hap1	3678213	3678214	rs9268480	A genome-wide association study identifies three new susceptibility loci for ulcerative colitis in the Japanese population.	Ulcerative colitis	BTNL2	1.82	3E-6	TCONS_00029940	-453038	intergenic	BTNL2	0	cds
chr6_apd_hap1	3678324	3678325	rs2076529	Meta-analysis identifies 13 new loci associated with waist-hip ratio and reveals sexual dimorphism in the genetic basis of fat distribution.	Waist-hip ratio	BTNL2	.02	4E-7	TCONS_00029940	-452927	intergenic	BTNL2	0	cds
chr6_apd_hap1	3682456	3682457	rs3817963	A genome-wide association study identifies two new susceptibility loci for lung adenocarcinoma in the Japanese population.	Lung adenocarcinoma	BTNL2	1.18	3E-10	TCONS_00029940	-448795	intergenic	BTNL2	0	intron
chr6_apd_hap1	3687679	3687680	rs10947262	New sequence variants in HLA class II/III region associated with susceptibility to knee osteoarthritis identified by genome-wide association study.	Knee osteoarthritis	BTNL2, HLA-DQA2, HLA-DQB1	1.31	5E-9	TCONS_00029940	-443572	intergenic	BTNL2	0	intron
chr6_apd_hap1	3688065	3688066	rs3806156	Variant of TYR and autoimmunity susceptibility loci in generalized vitiligo.	Vitiligo	BTNL2,HLA-DRA,HLA-DQA1	1.42	7E-19	TCONS_00029940	-443186	intergenic	BTNL2	0	intron
chr6_apd_hap1	3690838	3690839	rs3763313	Common genetic variation and the control of HIV-1 in humans.	HIV-1 control	BTNL2, NOTCH4	NR	2E-6	TCONS_00029940	-440413	intergenic	BTNL2	1570	intergenic
chr6_apd_hap1	3691155	3691156	rs3763317	Genome-wide association study for serum complement C3 and C4 levels in healthy Chinese subjects.	Complement C3 and C4 levels	HLA-DRB	.12	9E-66	TCONS_00029940	-440096	intergenic	BTNL2	1887	intergenic
chr6_apd_hap1	3693857	3693858	rs9268516	Genome-wide association studies of asthma in population-based cohorts confirm known and suggested loci and identify an additional association near HLA.	Asthma	BTNL2, HLA-DRA	1.15	1E-8	TCONS_00029940	-437394	intergenic	BTNL2	4589	intergenic
chr6_apd_hap1	3742665	3742666	rs6903608	A genome-wide meta-analysis of nodular sclerosing Hodgkin lymphoma identifies risk loci at 6p21.32.	Nodular sclerosis Hodgkin lymphoma	HLA-DRB1, HLA-DQB1	2.50	8E-18	TCONS_00029940	-388586	intergenic	HLA-DRB1	-31758	intergenic
chr6_apd_hap1	3742665	3742666	rs6903608	A genome-wide meta-analysis of nodular sclerosing Hodgkin lymphoma identifies risk loci at 6p21.32.	Nodular sclerosis Hodgkin lymphoma	HLA-DRB1, HLA-DQB1	1.70	2E-7	TCONS_00029940	-388586	intergenic	HLA-DRB1	-31758	intergenic
chr6_apd_hap1	3742665	3742666	rs6903608	A genome-wide association study of Hodgkin's lymphoma identifies new susceptibility loci at 2p16.1 (REL), 8q24.21 and 10p14 (GATA3).	Hodgkin's lymphoma	HLA-DRA	1.70	3E-50	TCONS_00029940	-388586	intergenic	HLA-DRB1	-31758	intergenic
chr6_apd_hap1	3744023	3744024	rs9268853	Pathway-driven gene stability selection of two rheumatoid arthritis GWAS identifies and validates new susceptibility genes in receptor mediated signalling pathways.	Rheumatoid arthritis	HLA-DRA	2.40	5E-109	TCONS_00029940	-387228	intergenic	HLA-DRB1	-30400	intergenic
chr6_apd_hap1	3744023	3744024	rs9268853	Meta-analysis identifies 29 additional ulcerative colitis risk loci, increasing the number of confirmed associations to 47.	Ulcerative colitis	HLA-DRB5, HLA-DQA1, HLA-DRB1, HLA-DRA, BTNL2	1.40	1E-55	TCONS_00029940	-387228	intergenic	HLA-DRB1	-30400	intergenic
chr6_apd_hap1	3745527	3745528	rs9268877	Genome-wide association study of ulcerative colitis identifies three new susceptibility loci, including the HNF4A region.	Ulcerative colitis	MHC	NR	4E-23	TCONS_00029940	-385724	intergenic	HLA-DRB1	-28896	intergenic
chr6_apd_hap1	3745527	3745528	rs9268877	Sequence variants in IL10, ARPC2 and multiple other loci contribute to ulcerative colitis susceptibility.	Ulcerative colitis	HLA-DRA, BTNL2	1.45	6E-18	TCONS_00029940	-385724	intergenic	HLA-DRB1	-28896	intergenic
chr6_apd_hap1	3746460	3746461	rs9268905	Genome-wide association and linkage identify modifier loci of lung disease severity in cystic fibrosis at 11p13 and 20q13.2.	Cystic fibrosis severity	HLA-DRA	NR	1E-7	TCONS_00029940	-384791	intergenic	HLA-DRB1	-27963	intergenic
chr6_apd_hap1	3747218	3747219	rs9268923	Genome-wide association study for ulcerative colitis identifies risk loci at 7q22 and 22q13 (IL17REL).	Ulcerative colitis	HLA-DRA	1.45	4E-15	TCONS_00029940	-384033	intergenic	HLA-DRB1	-27205	intergenic
chr6_apd_hap1	3747550	3747551	rs2395185	Genome-wide association analysis identifies new lung cancer susceptibility loci in never-smoking women in Asia.	Lung cancer	HLA class II	1.17	1E-8	TCONS_00029940	-383701	intergenic	HLA-DRB1	-26873	intergenic
chr6_apd_hap1	3747550	3747551	rs2395185	Genome-wide association study of classical Hodgkin lymphoma and Epstein-Barr virus status-defined subgroups.	Hodgkin's lymphoma	HLA-DRA	1.82	4E-31	TCONS_00029940	-383701	intergenic	HLA-DRB1	-26873	intergenic
chr6_apd_hap1	3747550	3747551	rs2395185	A genome-wide association study identifies three new susceptibility loci for ulcerative colitis in the Japanese population.	Ulcerative colitis	Intergenic	1.92	5E-22	TCONS_00029940	-383701	intergenic	HLA-DRB1	-26873	intergenic
chr6_apd_hap1	3747550	3747551	rs2395185	Ulcerative colitis-risk loci on chromosomes 1p36 and 12q15 found by genome-wide association study.	Ulcerative colitis	BTNL2, HLA-DRA, HLA-DRB5, HLA-DRB1, HLA-DQA1, HLA-DQB1	1.52	1E-16	TCONS_00029940	-383701	intergenic	HLA-DRB1	-26873	intergenic
chr6_apd_hap1	3973536	3973537	rs3916765	Stratifying type 2 diabetes cases by BMI identifies genetic risk variants in LAMA1 and enrichment for risk variants in lean compared to obese cases.	Type 2 diabetes	HLA-DQA2	1.21	1E-6	TCONS_00029940	-157715	intergenic	HLA-DQA2	-23902	intergenic
chr6_apd_hap1	3975932	3975933	rs9275698	Genome-wide association study identifies three new susceptibility loci for adult asthma in the Japanese population.	Asthma	HLA-DQA2	1.18	5E-12	TCONS_00029940	-155319	intergenic	HLA-DQA2	-21506	intergenic
chr6_apd_hap1	3988042	3988043	rs2858884	Genome-wide association study identifies new HLA class II haplotypes strongly protective against narcolepsy.	Narcolepsy	HLA-DQA2	1.79	3E-8	TCONS_00029940	-143209	intergenic	HLA-DQA2	-9396	intergenic
chr6_apd_hap1	4013471	4013472	rs2301271	Differential genetic associations for systemic lupus erythematosus based on anti-dsDNA autoantibody production.	Systemic lupus erythematosus	HLA-DQA2	1.47	2E-12	TCONS_00029940	-117780	intergenic	HLA-DQB2	0	intron
chr6_apd_hap1	4018290	4018291	rs7453920	A genome-wide association study of chronic hepatitis B identified novel risk locus in a Japanese population.	Hepatitis B	HAL-DQB2	1.81	6E-28	TCONS_00029940	-112961	intergenic	HLA-DQB2	0	intron
chr6_apd_hap1	4018364	4018365	rs2051549	Genome-wide pathway analysis of genome-wide association studies on systemic lupus erythematosus and rheumatoid arthritis.	Systemic lupus erythematosus	HLA-DQA2	NR	3E-22	TCONS_00029940	-112887	intergenic	HLA-DQB2	0	intron
chr6_apd_hap1	4024976	4024977	rs9276606	Genome-wide association study for serum complement C3 and C4 levels in healthy Chinese subjects.	Complement C3 and C4 levels	HLA-DQB	.09	3E-22	TCONS_00029940	-106275	intergenic	HLA-DQB2	5367	intergenic
chr6_apd_hap1	4051418	4051419	rs2857151	A genome-wide association study identifies three new risk loci for Kawasaki disease.	Kawasaki disease	HLA-DQB2, HLA-DOB	1.47	5E-11	TCONS_00029940	-79833	intergenic	HLA-DOB	-16283	intergenic
chr6_apd_hap1	4091074	4091075	rs241428	Genome-wide association study for serum complement C3 and C4 levels in healthy Chinese subjects.	Complement C3 and C4 levels	HLA-DQB	.23	9E-83	TCONS_00029940	-40177	intergenic	TAP2	0	intron
chr6_apd_hap1	4096851	4096852	rs9357155	Genome-wide association study identifies susceptibility loci for IgA nephropathy.	Nephropathy	TAP2, TAP1, PSMB8, PSMB9	1.41	2E-12	TCONS_00029940	-34400	intergenic	PSMB8	0	intron
chr6_apd_hap1	4139609	4139610	rs2187689	Novel genetic variants associated with lumbar disc degeneration in northern Europeans: a meta-analysis of 4600 subjects.	Disc degeneration (lumbar)	PSMB9	.23	3E-8	TCONS_00029940	4791	intergenic	LOC100294145	-9303	intergenic
chr6_apd_hap1	4141654	4141655	rs10046257	Novel genetic variants associated with lumbar disc degeneration in northern Europeans: a meta-analysis of 4600 subjects.	Disc degeneration (lumbar)	Intergenic	.19	3E-7	TCONS_00029940	6836	intergenic	LOC100294145	-7258	intergenic
chr6_apd_hap1	4142674	4142675	rs6457690	Novel genetic variants associated with lumbar disc degeneration in northern Europeans: a meta-analysis of 4600 subjects.	Disc degeneration (lumbar)	Intergenic	.19	9E-8	TCONS_l2_00031069	-6785	intergenic	LOC100294145	-6238	intergenic
