chrom	chromStart	chromEnd	name	trait	genes	orOrBeta	pValue
chr1	9432389	9432390	rs9308447	Dental caries	SPSB1	NR	5E-7
chr1	10286175	10286176	rs17396340	Mean platelet volume	KIF1B	.01	3E-8
chr1	10353111	10353112	rs10492972	Multiple sclerosis	KIF1B	1.34	3E-10
chr1	10385470	10385471	rs17401966	Hepatocellular carcinoma	KIF1B,UBE4B,PGD	1.64	2E-18
chr1	10638603	10638604	rs12741973	Optic disc size (rim)	PEX14	.17	7E-6
chr1	10796865	10796866	rs880315	Blood pressure	CASZ1	.74	7E-7
chr1	10796865	10796866	rs880315	Blood pressure	CASZ1	.56	3E-10
chr1	10799576	10799577	rs12046278	Systolic blood pressure	CASZ1	.53	5E-6
chr1	11033081	11033082	rs12565727	Male-pattern baldness	TARDBP	1.33	9E-11
chr1	11046854	11046855	rs9430161	Ewing sarcoma	TARDBP	2.20	1E-20
chr1	11171225	11171226	rs17036350	Corneal curvature	FRAP1	.18	4E-13
chr1	11736599	11736600	rs2336030	Visceral adipose tissue adjusted for BMI	MAD2L2	NR	1E-6
chr1	11788563	11788564	rs4846033	Schizophrenia	Intergenic	2.87	4E-6
chr1	11852515	11852516	rs17375901	Atrial fibrillation	MTHFR, NPPA	1.26	6E-7
chr1	11856377	11856378	rs1801133	Homocysteine levels	MTHFR	.05	8E-35
chr1	11862777	11862778	rs17367504	Blood pressure	MTHFR, NPPB	.53	2E-16
chr1	11862777	11862778	rs17367504	Systolic blood pressure	MTHFR, NPPA, CLCN6, NPPB, AGTRAP	.85	2E-13
chr1	11899032	11899033	rs1023252	Natriuretic peptide levels	CLCN6	.20	4E-16
chr1	12046062	12046063	rs2336384	Platelet counts	MFN2	2.17	1E-8
chr1	15347639	15347640	rs6667220	Chronic obstructive pulmonary disease-related biomarkers	RP1-21O18.1	NR	8E-6
chr1	15792425	15792426	rs2901964	Erectile dysfunction and prostate cancer treatment	ELA2A	5.26	5E-6
chr1	16299311	16299312	rs10927875	Dilated cardiomyopathy	ZBTB17	1.32	1E-9
chr1	16393356	16393357	rs9442235	Cognitive performance	FAM131C	NR	6E-6
chr1	16505319	16505320	rs1497406	Gamma gluatamyl transferase levels	Intergenic	.08	4E-8
chr1	16505319	16505320	rs1497406	Liver enzyme levels (gamma-glutamyl transferase)	RSG1, EPHA2	3.80	3E-19
chr1	17216330	17216331	rs6586513	Allergic rhinitis	CROCC	1.24	4E-6
chr1	17306674	17306675	rs2284746	Pulmonary function	MFAP2	.04	8E-16
chr1	17306674	17306675	rs2284746	Height	MFAP2	.04	4E-29
chr1	17331675	17331676	rs3738814	Height	ATP13A2, SDHB	.06	2E-7
chr1	17674536	17674537	rs2240335	Rheumatoid arthritis	PADI4	NR	2E-8
chr1	17674536	17674537	rs2240335	Rheumatoid arthritis	PADI4	1.50	2E-8
chr1	17722362	17722363	rs7538876	Basal cell carcinoma	PADI4, PADI6,RCC2, ARHGEF10L	1.28	4E-12
chr1	17834741	17834742	rs2254135	Response to hepatitis C treatment	ARHGEF10L	.27	3E-6
chr1	18294486	18294487	rs16861326	Erectile dysfunction and prostate cancer treatment	IGSF21	17.85	2E-6
chr1	18795254	18795255	rs3007729	Diabetic retinopathy	IGSF21, KLHDC7A	1.35	5E-6
chr1	18979873	18979874	rs742071	Orofacial clefts	PAX7	1.32	7E-9
chr1	19032271	19032272	rs2236824	Response to amphetamines	PAX7	NR	2E-6
chr1	19139516	19139517	rs12063142	Parkinson's disease	TAS1R2	NR	5E-7
chr1	19386584	19386585	rs12123383	Response to amphetamines	Intergenic	NR	4E-6
chr1	19568971	19568972	rs710865	Brain structure	KIAA0090, MRT04, AKR7L	NR	1E-7
chr1	19718823	19718824	rs7667	Crohn's disease and psoriasis	CAPZB	1.11	8E-6
chr1	19765517	19765518	rs12045440	Thyroid volume	CAPZB	.07	3E-14
chr1	19765517	19765518	rs12045440	Thyroid volume	CAPZB	1.38	2E-11
chr1	19839114	19839115	rs12138950	Thyroid volume	CAPZB	.10	3E-18
chr1	19843353	19843354	rs10917468	Thyroid volume	CAPZB	1.52	1E-14
chr1	19861105	19861106	rs10917477	Thyroid function	CAPZB	.06	2E-8
chr1	20140035	20140036	rs1317209	Ulcerative colitis	RNF186,OTUD3,PLA2G2E	1.17	2E-10
chr1	20142865	20142866	rs3806308	Ulcerative colitis	RNF186	1.28	7E-9
chr1	20171859	20171860	rs6426833	Ulcerative colitis	Intergenic	1.30	4E-35
chr1	20171859	20171860	rs6426833	Ulcerative colitis	RNF186,OTUD3,PLA2G2E	1.30	2E-21
chr1	20171859	20171860	rs6426833	Ulcerative colitis	OTUD3, PLA2G2E	NR	2E-11
chr1	20171859	20171860	rs6426833	Ulcerative colitis	OTUD3, PLA2G2E	1.37	5E-13
chr1	20227722	20227723	rs4654925	Ulcerative colitis	OTUD3	1.41	9E-22
chr1	21766452	21766453	rs1976403	Liver enzyme levels (alkaline phosphatase)	ALPL, NBPF3	3.60	2E-50
chr1	21786067	21786068	rs4654748	Folate pathway vitamin levels	ALPL	1.45	8E-18
chr1	21820989	21820990	rs10799701	Metabolic traits	ALPL	.13	3E-20
chr1	21821756	21821757	rs1780324	Liver enzyme levels	NBPF3, ALPL, RAP1GAP	.03	7E-15
chr1	21823291	21823292	rs1697421	Phosphorus levels	ALPL,NBPF3	.05	1E-27
chr1	21875915	21875916	rs885814	Response to TNF-alpha inhibitors in rheumatoid arthritis	ALPL	NR	6E-6
chr1	22373623	22373624	rs2501276	Immune response to smallpox vaccine (IL-6)	CDC42	NR	2E-7
chr1	22485870	22485871	rs16826658	Endometriosis	WNT4	1.20	2E-6
chr1	22490723	22490724	rs7521902	Endometriosis	WNT4	1.19	3E-11
chr1	22490723	22490724	rs7521902	Ovarian cancer	NR	1.12	5E-6
chr1	22573941	22573942	rs909814	Testosterone levels	Intergenic	.10	9E-7
chr1	22698446	22698447	rs7524102	Dupuytren's disease	RP11-415K20.1, WNT4	1.28	3E-9
chr1	22698446	22698447	rs7524102	Bone mineral density	ZBTB40	.44	9E-7
chr1	22698446	22698447	rs7524102	Bone mineral density	ZBTB40	.14	1E-6
chr1	22698446	22698447	rs7524102	Ulcerative colitis	Intergenic	1.10	2E-13
chr1	22698446	22698447	rs7524102	Ulcerative colitis	Intergenic	1.10	3E-7
chr1	22698446	22698447	rs7524102	Bone mineral density (spine)	ZBTB40	.09	3E-10
chr1	22698446	22698447	rs7524102	Bone mineral density (hip)	Intergenic	.15	1E-16
chr1	22698446	22698447	rs7524102	Bone mineral density (spine)	ZBTB40	.11	9E-9
chr1	22698446	22698447	rs7524102	Bone mineral density (hip)	ZBTB40	.15	5E-16
chr1	22702857	22702858	rs6696981	Bone mineral density (spine)	Intergenic	.12	2E-8
chr1	22711472	22711473	rs6426749	Bone mineral density (hip)	ZBTB40	.08	9E-8
chr1	23536890	23536891	rs1738475	Height	HTR1D	.03	3E-12
chr1	24431955	24431956	rs3934861	Bipolar disorder (mood-incongruent)	MYOM3	1.25	4E-6
chr1	24519919	24519920	rs4649203	Psoriasis	IL28RA	1.13	7E-8
chr1	24584489	24584490	rs6670533	Fasting insulin-related traits (interaction with BMI)	GRHL3	NR	6E-6
chr1	24626173	24626174	rs10794657	Adiponectin levels	NR	.03	2E-7
chr1	25044110	25044111	rs4601530	Height	CLIC4	.03	2E-12
chr1	25297183	25297184	rs11249215	Ankylosing spondylitis	RUNX3	NR	9E-11
chr1	25303575	25303576	rs10903122	Celiac disease	RUNX3	1.12	2E-10
chr1	25570080	25570081	rs1043879	Erythrocyte sedimentation rate	C1orf63	.09	2E-9
chr1	25674784	25674785	rs3091242	Erythrocyte sedimentation rate	TMEM50A	.10	2E-13
chr1	25768936	25768937	rs10903129	Erythrocyte sedimentation rate	TMEM57	.10	5E-13
chr1	25768936	25768937	rs10903129	Cholesterol, total	TMEM57	.06	5E-10
chr1	25775732	25775733	rs12027135	LDL cholesterol	TMEM57,LDLRAP1	1.10	1E-10
chr1	25775732	25775733	rs12027135	Cholesterol, total	TMEM57,LDLRAP1	1.22	4E-11
chr1	26521139	26521140	rs11809207	Height	CATSPER4	.07	6E-8
chr1	26741543	26741544	rs7532866	Height	LIN28	.02	3E-8
chr1	30185661	30185662	rs1866967	Prostate cancer (gene x gene interaction)	PTPRU	1.22	5E-6
chr1	30431559	30431560	rs1009080	Schizophrenia	NR	1.09	3E-6
chr1	30432218	30432219	rs4949526	Bipolar disorder and schizophrenia	PTPRU	1.28	4E-7
chr1	30525713	30525714	rs2860031	Bipolar disorder (mood-incongruent)	Intergenic	1.22	3E-6
chr1	30567595	30567596	rs910696	Smoking behavior	Intergenic	.08	3E-6
chr1	30627711	30627712	rs2180233	Attention deficit hyperactivity disorder and conduct disorder	Intergenic	NR	9E-6
chr1	34173819	34173820	rs564148	Response to amphetamines	CSMD2	NR	9E-6
chr1	34180841	34180842	rs16835742	Intelligence	CSMD2	NR	8E-8
chr1	34181829	34181830	rs7533254	Intelligence	CSMD2	NR	8E-8
chr1	34186192	34186193	rs528059	Intelligence	CSMD2	NR	8E-8
chr1	34189428	34189429	rs544991	Intelligence	CSMD2	NR	8E-8
chr1	34248063	34248064	rs476463	Brain structure	CSMD2	NR	1E-6
chr1	34359857	34359858	rs2281597	Attention deficit hyperactivity disorder	CSMD2	NR	5E-7
chr1	34750935	34750936	rs771390	Epilepsy (generalized)	C1orf94	1.22	6E-7
chr1	34989236	34989237	rs10914967	Visceral adipose tissue adjusted for BMI	GJB5	NR	6E-6
chr1	35289038	35289039	rs7526035	Formal thought disorder in schizophrenia	GJA4	1.29	9E-6
chr1	35687814	35687815	rs673604	Endometrial cancer	SFPQ	1.21	6E-6
chr1	36904719	36904720	rs6702784	Diabetic retinopathy	C1orf102, LSCM10, MRPS15	1.08	4E-6
chr1	37958812	37958813	rs9253	Hemostatic factors and hematological phenotypes	FLJ11730, BC016328	NR	4E-6
chr1	38196840	38196841	rs731174	Prostate cancer (gene x gene interaction)	EPHA10	1.27	5E-6
chr1	38247152	38247153	rs12117544	Cognitive performance	RP11-109P14.2	NR	8E-6
chr1	38279986	38279987	rs3748682	Hypothyroidism	MTF1	1.19	9E-6
chr1	38602072	38602073	rs7547921	Visceral adipose tissue/subcutaneous adipose tissue ratio	POU3F1	NR	8E-6
chr1	38624128	38624129	rs12131057	Rheumatoid arthritis	POU3F1	1.16	4E-7
chr1	39380384	39380385	rs4246511	Menopause (age at onset)	RHBDL2	.24	9E-17
chr1	40028179	40028180	rs4660293	HDL cholesterol	MACF1,PABPC4	.48	4E-10
chr1	40064960	40064961	rs12037222	C-reactive protein	PABPC4	.05	6E-11
chr1	40132794	40132795	rs873917	Amyotrophic lateral sclerosis	NT5C1A	1.16	8E-6
chr1	41239510	41239511	rs4660456	Platelet counts	NFYC	NR	4E-6
chr1	41530870	41530871	rs6686842	Height	SCMH1	.05	2E-8
chr1	41745769	41745770	rs2154319	Height	SCMH1	.03	2E-12
chr1	41839821	41839822	rs4660531	Bipolar disorder	Intergenic	1.10	3E-6
chr1	43596383	43596384	rs16830359	Cardiac hypertrophy	SLC2A1	NR	1E-7
chr1	43645410	43645411	rs621559	Telomere length	WDR65	.16	2E-6
chr1	44005279	44005280	rs2819332	Amyotrophic lateral sclerosis (age of onset)	PTPRF	NR	5E-6
chr1	44117005	44117006	rs660899	Hypertension risk in short sleep duration	JMJD2A	7.22	4E-6
chr1	44129778	44129779	rs669446	Amyotrophic lateral sclerosis (age of onset)	JMJD2A	NR	5E-6
chr1	44215827	44215828	rs2367725	Aging (time to event)	ST3GAL3	1.08	9E-6
chr1	44319372	44319373	rs3011225	Amyotrophic lateral sclerosis (age of onset)	ST3GAL3	NR	7E-8
chr1	47179309	47179310	rs10789491	Response to hepatitis C treatment	KIAA0494	.31	1E-6
chr1	47284922	47284923	rs12059860	Testosterone levels	CYP4B1	.62	8E-6
chr1	47404185	47404186	rs9332998	Metabolic traits	CYP4A	.16	5E-32
chr1	47918820	47918821	rs527430	Response to antidepressant treatment	FOXD2	NR	4E-7
chr1	48009996	48009997	rs11582540	Response to amphetamines	Intergenic	NR	3E-6
chr1	48321220	48321221	rs946836	White matter integrity	LOC388630	.30	5E-6
chr1	50937847	50937848	rs3827730	Depression and alcohol dependence	FAF1	1.72	4E-6
chr1	51546139	51546140	rs17391905	Ventricular conduction	C1orf185, RNF11, CDKN2C,FAF1	1.35	3E-10
chr1	51859241	51859242	rs6673480	IgE grass sensitization	EPS15	1.35	2E-6
chr1	53581669	53581670	rs3820201	Hippocampal atrophy	SLC1A7	NR	1E-6
chr1	53629584	53629585	rs6695567	Systemic lupus erythematosus	SLC1A7	1.32	4E-6
chr1	53871084	53871085	rs114216682	Chronic obstructive pulmonary disease	FLJ40434	4.49	7E-8
chr1	53978118	53978119	rs6588480	Response to statin therapy	GLIS1,DMRTB1,FLJ40434	NR	8E-6
chr1	54320336	54320337	rs11206226	Nonalcoholic fatty liver disease	YIPF1	1.72	5E-6
chr1	55496038	55496039	rs11206510	Coronary heart disease	PCSK9	1.08	9E-8
chr1	55496038	55496039	rs11206510	LDL cholesterol	PCSK9	.03	1E-10
chr1	55496038	55496039	rs11206510	Myocardial infarction (early onset)	PCSK9	1.15	1E-8
chr1	55496038	55496039	rs11206510	LDL cholesterol	PCSK9	.09	4E-8
chr1	55496038	55496039	rs11206510	LDL cholesterol	PCSK9	3.04	4E-11
chr1	55504649	55504650	rs2479409	LDL cholesterol	PCSK9	2.01	2E-28
chr1	55504649	55504650	rs2479409	Cholesterol, total	PCSK9	1.96	4E-24
chr1	55505646	55505647	rs11591147	Response to statin therapy (LDL-C)	PCSK9	5.00	5E-9
chr1	55505646	55505647	rs11591147	LDL cholesterol	PCSK9	.47	2E-44
chr1	55512994	55512995	rs2495478	Wilms tumor	NR	1.40	1E-7
chr1	55742836	55742837	rs12239436	Coronary heart disease	Intergenic	.09	5E-6
chr1	55958029	55958030	rs1998013	Metabolite levels	PCSK9, USP24	NR	5E-13
chr1	56060950	56060951	rs10888935	Inflammatory biomarkers	Intergenic	NR	7E-7
chr1	56116504	56116505	rs72669744	Lipid metabolism phenotypes	PCSK9	.59	1E-19
chr1	56359812	56359813	rs6684428	Airflow obstruction	PPAP2B	1.23	5E-7
chr1	56850685	56850686	rs11206801	AB1-42	Intergenic	NR	6E-8
chr1	56962820	56962821	rs17114036	Coronary heart disease	PPAP2B	1.17	4E-19
chr1	56966349	56966350	rs17114046	Coronary heart disease	PPAP2B	NR	3E-7
chr1	56966349	56966350	rs17114046	Coronary heart disease	PPAP2B	NR	2E-7
chr1	57126918	57126919	rs2746347	Lymphocyte counts	PRKAA2	NR	4E-7
chr1	57243453	57243454	rs17372114	Resistin levels	C1orf168	.04	5E-7
chr1	57805549	57805550	rs10159302	HIV-1 control	NR	NR	9E-6
chr1	58367235	58367236	rs6679454	Immune reponse to smallpox (secreted IL-10)	DAB1	NR	3E-7
chr1	58757914	58757915	rs527409	Kawasaki disease	DAB1	2.90	1E-6
chr1	59162147	59162148	rs2811893	Diabetic retinopathy	MYSM1	NR	3E-7
chr1	59325625	59325626	rs4601609	Cognitive performance	JUN	NR	5E-6
chr1	59799160	59799161	rs17119280	Response to antipsychotic therapy (extrapyramidal side effects)	FGGY	NR	7E-6
chr1	60084515	60084516	rs12727131	Neutrophil count	FGGY	NR	3E-6
chr1	61041874	61041875	rs12565755	Response to tocilizumab in rheumatoid arthritis	Intergenic	.39	5E-8
chr1	61059258	61059259	rs2989476	Bipolar disorder	NFIA	1.16	3E-6
chr1	61059258	61059259	rs2989476	Bipolar disorder	NR	NR	2E-6
chr1	61095557	61095558	rs472913	Bipolar disorder	NF1A	1.18	2E-7
chr1	61205468	61205469	rs1514178	Phospholipid levels (plasma)	NFIA	.07	2E-7
chr1	61791862	61791863	rs6691768	Celiac disease	NFIA	1.11	1E-7
chr1	61815798	61815799	rs41350144	Bipolar disorder	NF1A	2.27	3E-7
chr1	61820071	61820072	rs17121983	Bipolar disorder	NF1A	2.26	4E-7
chr1	61821818	61821819	rs7556462	Bipolar disorder	NF1A	2.26	4E-7
chr1	61821818	61821819	rs7556462	Bipolar disorder	NF1A	2.26	4E-7
chr1	61822282	61822283	rs4915737	Bipolar disorder	NF1A	2.26	4E-7
chr1	61824388	61824389	rs41453448	Bipolar disorder	NF1A	2.50	2E-7
chr1	61831889	61831890	rs1125777	Bipolar disorder	NF1A	2.50	2E-7
chr1	61831889	61831890	rs1125777	Bipolar disorder	NF1A	2.34	2E-7
chr1	61831937	61831938	rs12568010	Bipolar disorder	NF1A	2.50	2E-7
chr1	61831937	61831938	rs12568010	Bipolar disorder	NF1A	2.34	2E-7
chr1	61873676	61873677	rs9436640	Ventricular conduction	NFIA	.59	5E-18
chr1	62931631	62931632	rs1167998	Triglycerides	DOCK7	.09	2E-12
chr1	62950857	62950858	rs10889332	Metabolite levels	ANGPTL3, DOCK7	NR	8E-15
chr1	62969401	62969402	rs1168029	Lipid metabolism phenotypes	ANGPTL3	.13	3E-13
chr1	62996837	62996838	rs1168013	Triglycerides	DOCK7,ANGPTL3	.04	6E-8
chr1	63025941	63025942	rs2131925	Triglycerides	ANGPTL3,DOCK7	4.94	9E-43
chr1	63025941	63025942	rs2131925	LDL cholesterol	ANGPTL3,DOCK7	1.59	3E-18
chr1	63025941	63025942	rs2131925	Cholesterol, total	ANGPTL3,DOCK7	2.60	5E-41
chr1	63049592	63049593	rs1748195	Triglycerides	ANGPTL3	7.12	2E-10
chr1	63118195	63118196	rs10889353	LDL cholesterol	DOCK7	.06	8E-6
chr1	63118195	63118196	rs10889353	Cholesterol, total	DOCK7	.08	4E-12
chr1	63118195	63118196	rs10889353	Triglycerides	ANGPTL3	.05	3E-7
chr1	63191776	63191777	rs12130333	Triglycerides	ANGPTL3, DOCK7, ATG4C	.11	2E-8
chr1	63480729	63480730	rs17124318	Weight	ATG4C	3.98	4E-6
chr1	63480729	63480730	rs17124318	Body mass index	ATG4C	.07	6E-7
chr1	63586972	63586973	rs7526034	Brain imaging	LOC199897	NR	NS
chr1	63591128	63591129	rs10493340	Blood pressure	Intergenic	NR	2E-6
chr1	64108770	64108771	rs2269241	Type 1 diabetes	PGM1	1.10	4E-7
chr1	64127467	64127468	rs2749097	Alcohol consumption	PGM1	.12	2E-9
chr1	64868351	64868352	rs11208446	Bilirubin levels	RNU7-62P	.12	9E-6
chr1	65815658	65815659	rs1413885	Anticoagulant levels	DNAJC6	.43	3E-7
chr1	65992624	65992625	rs1751492	Soluble leptin receptor levels	LEPR	7.60	6E-13
chr1	66089781	66089782	rs6700896	C-reactive protein	LEPR	14.80	3E-14
chr1	66102256	66102257	rs1805096	C-reactive protein	LEPR	.11	2E-9
chr1	66105943	66105944	rs1892534	C-reactive protein	LEPR	.17	7E-21
chr1	66161460	66161461	rs4420065	C-reactive protein	LEPR	.09	4E-62
chr1	66169678	66169679	rs12753193	Metabolic traits	LEPR	.13	4E-7
chr1	66279124	66279125	rs4384209	Economic and political preferences (feminism/equality)	PDE4B	.13	2E-6
chr1	66310864	66310865	rs10493389	Echocardiographic traits	PDE4B	NR	7E-6
chr1	66762465	66762466	rs546784	Acute lymphoblastic leukemia (childhood)	PDE4B	1.40	9E-6
chr1	66769099	66769100	rs6683977	Acute lymphoblastic leukemia (childhood)	PDE4B	1.41	5E-6
chr1	67590460	67590461	rs11209002	Crohn's disease	IL23R	2.56	2E-7
chr1	67590460	67590461	rs11209002	Crohn's disease	IL23R	1.38	1E-8
chr1	67597118	67597119	rs3762318	Leprosy	IL23R	1.45	3E-11
chr1	67601131	67601132	rs11209003	Crohn's disease	IL23R	2.56	2E-7
chr1	67601131	67601132	rs11209003	Crohn's disease	IL23R	1.38	1E-8
chr1	67653009	67653010	rs2064689	Crohn's disease	IL23R	2.56	2E-7
chr1	67653009	67653010	rs2064689	Crohn's disease	IL23R	1.38	1E-8
chr1	67670212	67670213	rs1004819	Crohn's disease	IL23R	2.56	2E-7
chr1	67670212	67670213	rs1004819	Crohn's disease	IL23R	1.38	1E-8
chr1	67670915	67670916	rs2902440	Crohn's disease	IL23R	2.56	2E-7
chr1	67670915	67670916	rs2902440	Crohn's disease	IL23R	1.38	1E-8
chr1	67675515	67675516	rs11805303	Crohn's disease	IL23R	1.39	6E-12
chr1	67681668	67681669	rs7517847	Crohn's disease	IL23R	NR	3E-12
chr1	67681668	67681669	rs7517847	Inflammatory bowel disease	IL23R	1.61	4E-13
chr1	67685597	67685598	rs11465802	Crohn's disease	IL23R	2.56	2E-7
chr1	67685597	67685598	rs11465802	Crohn's disease	IL23R	1.38	1E-8
chr1	67694201	67694202	rs2201841	Ulcerative colitis	IL23R	1.27	1E-13
chr1	67694201	67694202	rs2201841	Psoriasis	IL23R	1.13	3E-8
chr1	67694201	67694202	rs2201841	Crohn's disease	IL23R	2.56	2E-7
chr1	67694201	67694202	rs2201841	Crohn's disease	IL23R	1.38	1E-8
chr1	67702525	67702526	rs11465804	Crohn's disease	IL23R	1.89	1E-6
chr1	67702525	67702526	rs11465804	Crohn's disease	IL23R	2.50	7E-63
chr1	67702525	67702526	rs11465804	Crohn's disease	IL23R	2.56	2E-7
chr1	67702525	67702526	rs11465804	Crohn's disease	IL23R	1.38	1E-8
chr1	67705957	67705958	rs11209026	Crohn's disease	IL23R	2.84	4E-14
chr1	67705957	67705958	rs11209026	Crohn's disease	IL23R, IL12RB2, C1orf141, SERBP1,SLC35D1	2.20	1E-18
chr1	67705957	67705958	rs11209026	Crohn's disease	IL23R	3.18	4E-21
chr1	67705957	67705958	rs11209026	Ankylosing spondylitis	IL23R	NR	2E-17
chr1	67705957	67705958	rs11209026	Ulcerative colitis	IL23R	1.74	5E-28
chr1	67705957	67705958	rs11209026	Crohn's disease	IL23R	2.66	1E-64
chr1	67705957	67705958	rs11209026	Psoriasis	IL23R	1.49	7E-7
chr1	67705957	67705958	rs11209026	Ankylosing spondylitis	IL23R	1.89	9E-14
chr1	67705957	67705958	rs11209026	Ulcerative colitis	IL23R	NR	3E-10
chr1	67705957	67705958	rs11209026	Ulcerative colitis	IL23R	1.79	1E-8
chr1	67705957	67705958	rs11209026	Inflammatory bowel disease	IL23R	2.56	7E-11
chr1	67705957	67705958	rs11209026	Crohn's disease	IL23R	2.56	2E-7
chr1	67705957	67705958	rs11209026	Crohn's disease	IL23R	1.38	1E-8
chr1	67705957	67705958	rs11209026	Crohn's disease	IL23R	2.92	2E-18
chr1	67705957	67705958	rs11209026	Inflammatory bowel disease	IL23R	3.84	4E-11
chr1	67719128	67719129	rs1343151	Crohn's disease	IL23R	2.56	2E-7
chr1	67719128	67719129	rs1343151	Crohn's disease	IL23R	1.38	1E-8
chr1	67722566	67722567	rs10889676	Crohn's disease	IL23R	2.56	2E-7
chr1	67722566	67722567	rs10889676	Crohn's disease	IL23R	1.38	1E-8
chr1	67725119	67725120	rs10889677	Ulcerative colitis	IL23R	1.29	1E-8
chr1	67725119	67725120	rs10889677	Crohn's disease	IL23R	2.56	2E-7
chr1	67725119	67725120	rs10889677	Crohn's disease	IL23R	1.38	1E-8
chr1	67726103	67726104	rs9988642	Crohn's disease	IL23R	2.56	2E-7
chr1	67726103	67726104	rs9988642	Crohn's disease	IL23R	1.38	1E-8
chr1	67728017	67728018	rs12567232	Crohn's disease	IL23R	2.56	2E-7
chr1	67728017	67728018	rs12567232	Crohn's disease	IL23R	1.38	1E-8
chr1	67730054	67730055	rs6669582	Crohn's disease	IL23R	2.56	2E-7
chr1	67730054	67730055	rs6669582	Crohn's disease	IL23R	1.38	1E-8
chr1	67730627	67730628	rs10789230	Crohn's disease	IL23R	2.56	2E-7
chr1	67730627	67730628	rs10789230	Crohn's disease	IL23R	1.38	1E-8
chr1	67753507	67753508	rs1495965	Behcet's disease	IL23R,IL12RB2	1.35	2E-11
chr1	67760139	67760140	rs924080	Behcet's disease	IL23R,IL12RB2	1.28	7E-9
chr1	67790597	67790598	rs17129789	Primary biliary cirrhosis	IL12RB2	1.52	9E-20
chr1	67822376	67822377	rs3790567	Primary biliary cirrhosis	IL12RB2	1.48	8E-12
chr1	67822376	67822377	rs3790567	Primary biliary cirrhosis	IL12RB2	1.51	3E-11
chr1	67954728	67954729	rs17129789	Primary biliary cirrhosis	IL12RB2	1.52	9E-20
chr1	68635074	68635075	rs1430742	Bone mineral density (spine)	GPR177	.11	3E-13
chr1	68635389	68635390	rs2566755	Bone mineral density (hip)	GPR177	.10	2E-12
chr1	68785212	68785213	rs11209261	Airflow obstruction	GPR177	1.23	3E-6
chr1	69579251	69579252	rs4147141	Inattentive symptoms	Intergenic	NR	8E-6
chr1	69579251	69579252	rs4147141	Attention deficit hyperactivity disorder	Intergenic	NR	6E-6
